customer_id,customer_name,gender,city,join_date
1,David Tate,Female,Mumbai,2025-08-08
2,William Banks,Male,Bangalore,2024-07-06
3,Peter Ramirez,Male,Bangalore,2024-04-20
4,Denise Garcia,Female,Mumbai,2024-10-11
5,Lucas Berger,Male,Ahmedabad,2024-12-19
6,David Jackson,Female,Pune,2025-11-01
7,Joshua Jones,Male,Hyderabad,2024-10-15
8,Kristen Henson,Female,Hyderabad,2024-07-23
9,Kimberly Blair,Female,Bangalore,2025-04-17
10,Stephanie Reyes,Male,Ahmedabad,2025-04-13
11,Antonio Richardson,Female,Ahmedabad,2025-08-02
12,Justin Pineda Jr.,Female,Mumbai,2025-05-18
13,Natalie Hudson,Female,Ahmedabad,2025-03-13
14,Katherine Moore,Female,Mumbai,2024-02-28
15,Charles Bond,Female,Pune,2024-03-07
16,Anthony Burke,Male,Chennai,2024-05-31
17,Sandra Bennett,Male,Hyderabad,2025-12-03
18,Laura Scott,Male,Delhi,2024-09-28
19,Kristy Young,Female,Ahmedabad,2024-04-08
20,Sarah Singh,Male,Chennai,2025-09-10
21,Stephen Martinez,Male,Mumbai,2025-03-11
22,Thomas West,Female,Pune,2025-04-22
23,Edwin Steele,Male,Chennai,2024-09-02
24,Robert Wilson,Female,Hyderabad,2025-04-05
25,Adam Poole,Male,Bangalore,2024-08-25
26,Crystal Burns,Female,Hyderabad,2025-04-24
27,Jennifer Moore,Female,Mumbai,2025-05-31
28,Aaron Jensen,Male,Mumbai,2024-03-20
29,James Benson,Male,Bangalore,2024-09-17
30,Rachel Potts,Male,Ahmedabad,2025-06-20
31,Theodore Hernandez,Female,Bangalore,2024-04-04
32,Deborah Oneal,Male,Mumbai,2025-05-06
33,Mackenzie Nelson,Male,Bangalore,2025-06-12
34,Robert Ochoa,Female,Delhi,2024-11-29
35,David Sanford,Male,Mumbai,2025-01-20
36,Stephanie Villarreal,Female,Ahmedabad,2024-12-08
37,Wesley Shannon,Female,Chennai,2025-05-04
38,Cassandra Johnson,Female,Pune,2026-02-12
39,Mariah Pruitt,Male,Ahmedabad,2024-07-06
40,Shannon Mitchell,Male,Hyderabad,2026-02-08
41,Dr. Glenda Watts PhD,Female,Hyderabad,2025-05-09
42,Joseph Warren,Female,Bangalore,2024-12-22
43,Catherine Riley,Female,Mumbai,2024-11-25
44,Erin Massey,Male,Ahmedabad,2025-09-22
45,Matthew Brandt,Female,Ahmedabad,2025-01-18
46,Danielle Larsen,Female,Hyderabad,2025-10-19
47,Anna Sanders,Male,Ahmedabad,2024-07-22
48,Rebecca Barry,Male,Hyderabad,2025-07-24
49,Mary West,Male,Hyderabad,2024-12-09
50,Alexandria Logan,Male,Bangalore,2024-07-13
51,Joseph Schmidt,Male,Ahmedabad,2024-05-17
52,William Ruiz,Male,Delhi,2024-06-24
53,William King,Male,Hyderabad,2026-01-19
54,Henry Flores,Female,Ahmedabad,2025-04-26
55,Laura Castro,Male,Bangalore,2025-12-30
56,Natasha Taylor,Male,Chennai,2025-04-22
57,Richard Allen,Male,Chennai,2025-03-02
58,Anthony Lucas,Male,Hyderabad,2024-04-29
59,Julie Lambert,Male,Mumbai,2024-11-11
60,Leonard Moore,Male,Delhi,2025-09-23
61,John Mclaughlin,Male,Delhi,2025-07-19
62,Kathryn Silva,Male,Chennai,2024-06-28
63,Charles Thompson,Male,Chennai,2025-05-23
64,Mason Bray,Female,Chennai,2026-02-10
65,Danny Parker,Female,Delhi,2024-11-22
66,Dana Valdez,Female,Pune,2024-09-11
67,Jason Mckay,Male,Mumbai,2025-04-04
68,Matthew Edwards,Male,Ahmedabad,2024-03-04
69,Michelle Parker,Female,Bangalore,2025-05-31
70,Ann Romero,Female,Chennai,2025-01-21
71,Samuel Thompson,Male,Bangalore,2024-08-31
72,Diana Patel,Male,Mumbai,2025-05-02
73,Michael Bright,Male,Pune,2024-12-23
74,Richard Stewart,Female,Mumbai,2024-12-25
75,Christopher Hudson,Female,Mumbai,2025-07-16
76,Allen Williams,Female,Pune,2024-02-18
77,Brandon Pearson,Female,Pune,2025-02-28
78,Anna Harvey,Female,Pune,2024-12-16
79,Timothy Lindsey,Female,Chennai,2024-12-31
80,Heather Mccoy,Male,Hyderabad,2024-03-15
81,William Smith,Male,Mumbai,2025-04-05
82,Christina Wolf,Male,Delhi,2026-02-12
83,Melody Wells,Male,Hyderabad,2024-05-16
84,Samuel Hernandez,Female,Bangalore,2024-12-03
85,Courtney Long,Female,Delhi,2025-10-25
86,Aaron Smith,Male,Hyderabad,2025-12-26
87,Chelsea Mcmillan,Female,Pune,2024-10-19
88,Kyle Zavala,Male,Chennai,2025-09-11
89,Nicole Randall,Male,Chennai,2025-04-05
90,Mr. William Aguirre,Male,Delhi,2025-01-25
91,Samantha French,Male,Delhi,2024-12-18
92,Elaine Kelly,Female,Ahmedabad,2024-07-08
93,Brittany King DVM,Female,Hyderabad,2025-09-01
94,Deborah Cook,Male,Hyderabad,2025-03-20
95,Dennis Evans,Female,Mumbai,2025-10-07
96,Terry Chang,Male,Hyderabad,2024-09-12
97,Jeffrey Thomas,Male,Chennai,2024-03-30
98,Stephen Obrien,Male,Chennai,2024-11-03
99,Charles Green,Male,Ahmedabad,2024-03-13
100,Adam King,Male,Hyderabad,2025-05-26
101,Laura Benjamin,Male,Ahmedabad,2024-09-04
102,Jason Murray,Male,Chennai,2025-08-04
103,Ronald Flowers,Male,Delhi,2024-07-19
104,Denise White,Male,Delhi,2025-01-03
105,Lindsey Ellis,Female,Bangalore,2025-12-04
106,Joyce Phillips,Female,Hyderabad,2024-07-15
107,Kristen Drake,Male,Ahmedabad,2025-01-17
108,Larry Bauer,Female,Chennai,2025-04-29
109,Robert Williams,Female,Mumbai,2026-01-02
110,Renee Pope,Female,Chennai,2025-07-12
111,Lawrence Schmidt,Female,Hyderabad,2024-11-21
112,Nathan Carter,Male,Bangalore,2025-06-08
